4913064: ['活下去', '悲哀', '经典', '描述', '有庆', '福贵式', '福贵', '读余华', '见血', '多如牛毛']
26425831: ['斯通纳', '毫不犹豫', '喜欢', '本书', '学术', '活着', '石头', '爱情', '灵肉', '黑塞']
24257229: ['加缪', '盲目', '上帝', '第三条', '视角', '打倒', '塔鲁', '悲天', '不悯', '直到']
26878124: ['女人', '他人', '撩动', '文学', '不如', '女主', '长痘痘', '言情小说', '写日记', '大篇幅']
27002046: ['众人皆醉', '独醒', '独醉', '1984', '从书中', '变老', '洗脑', '家庭', '原罪', '配给']
10517238: ['奴性', '幼稚', '情节', '故事会', '别无二致', '少平', '少安', '一文不值', '精神', '桥段']
3674537: ['板砖', '良心', '理想', '没有', '严谨性', '胡宗宪', '06', '16', '800', '多页']
2035179: ['动物', '极权', '雪球', '低等动物', '摆平', '你们', '醒悟', '需要', '下层', '还是']
27116235: ['相信', '哈气', '我们', '污浊', '未改', '化为乌有', '纯真', '东西', '平庸', '分担']
26879778: ['不写', '2017.49', '善念', '问心无愧', '教养', '偏见', '心存', '活得', '尊严', '亲爱']
1043815: ['祥子', '嫌弃', '反感', '精彩', '遗憾', '生理', '一生', '小说', '教育', '多年']
1057244: ['泪目', '读到', 'emo', '边城', '编程', '初中', '境界', '爱情', '真是', '最高']
6953273: ['这书', '不白读', '停不下来', '正正经经', '一句', '挖坑', '谜底', '揭晓', '鬼神', '但是']
34434309: ['金智英', '女性', '东亚', '自由', '傲慢无礼', '拥有', '艰难险阻', '女性朋友', '自己', '切身']
35081921: ['康奈尔', '玛丽安', '萨莉', '鲁尼', '自己', '正常人', '一个', '真的', '人格', '落俗']
35250412: ['男性', '女性', '囫囵吞枣', '李诞招', '所觅', '李诞', '自省', '薄薄', '身上', '裸奔']
3633461: ['这样的话', '在理', '句句', '本来', '喜欢', '因为', '而是', '不是', '乡土气', '一万种']
34949694: ['流进', '期盼', '滞后', '本书', '不伦', '信在', '偏枝', '对坂元裕', '他举', '轻若轻']
